feature,score,weight
pca_component_0,0.7252659766624876,0.7252659766624876
pca_component_10,0.12948568560868629,0.12948568560868629
pca_component_6,0.11330978764831046,0.11330978764831046
pca_component_7,0.11306115449023764,0.11306115449023764
pca_component_3,0.1074227334714992,-0.1074227334714992
pca_component_2,0.07344555322950848,-0.07344555322950848
pca_component_4,0.06362713119334246,0.06362713119334246
pca_component_5,0.054144936820015505,-0.054144936820015505
pca_component_8,0.039169210051336396,0.039169210051336396
pca_component_1,0.03503120871133196,-0.03503120871133196
