feature,score,weight
pca_component_0,0.7252659766624877,0.7252659766624877
pca_component_10,0.12948568560868653,0.12948568560868653
pca_component_6,0.11330978764831057,0.11330978764831057
pca_component_7,0.1130611544902372,0.1130611544902372
pca_component_3,0.10742273347150129,-0.10742273347150129
pca_component_2,0.07344555322950856,-0.07344555322950856
pca_component_4,0.06362713119334001,0.06362713119334001
pca_component_5,0.05414493682001538,-0.05414493682001538
pca_component_8,0.03916921005133754,0.03916921005133754
pca_component_1,0.035031208711332064,-0.035031208711332064
