feature,score,weight
pca_component_0,0.68729657086256,0.68729657086256
pca_component_1,0.09827737245711886,0.09827737245711886
pca_component_2,0.07148734394531027,0.07148734394531027
pca_component_3,0.027320742726586418,0.027320742726586418
pca_component_6,0.027069048219402463,0.027069048219402463
pca_component_5,0.020683136377793978,0.020683136377793978
pca_component_4,0.02035499944496844,0.02035499944496844
pca_component_7,0.016611063126437942,0.016611063126437942
pca_component_8,0.011982174085749872,0.011982174085749872
pca_component_10,0.00959854440360961,0.00959854440360961
