feature,score,weight
sv_energy_5,27.785687586292617,27.785687586292617
sv_energy_4,18.34465494921623,18.34465494921623
sv_energy_3,12.893881823646069,12.893881823646069
amp_real_0,7.523885685185816,7.523885685185816
window_mean,5.752824497008716,5.752824497008716
sv_energy_0,5.317605087156231,-5.317605087156231
eig_abs_0,4.501039147498711,4.501039147498711
sv_energy_1,4.076227317814175,-4.076227317814175
eig_abs_1,3.216503610659449,3.216503610659449
eig_abs_5,1.9921568813125705,-1.9921568813125705
