feature,score,weight
pca_component_0,0.8785891418502477,0.8785891418502477
pca_component_1,0.04704199115438388,0.04704199115438388
pca_component_2,0.02655995794724408,0.02655995794724408
pca_component_5,0.008987030916190717,0.008987030916190717
pca_component_7,0.008112544660598357,0.008112544660598357
pca_component_6,0.007101942221886063,0.007101942221886063
pca_component_4,0.007034751050961076,0.007034751050961076
pca_component_3,0.006048236468316489,0.006048236468316489
pca_component_8,0.004992561515740023,0.004992561515740023
pca_component_10,0.004222007798609796,0.004222007798609796
